Namespace(annpath='train.json', bs=32, clip_len=16, cuda=True, dataparallel=True, emb_init='../wordvectors/glove.840B.300d-char.txt', embedding_size=300, feature_size=512, framepath='frames', ft_begin_index=0, imsize=224, log_every=10, lr=0.0001, lstm_memory=512, lstm_pretrain_ep=10, lstm_stacks=1, manual_seed=1, max_epochs=1000, max_seqlen=30, meta_path='videometa_train.json', mode='train', model_path='../models', modeldepth=18, modelname='resnet', momentum=0.9, n_classes=400, n_cpu=8, n_finetune_classes=400, norm_value=1, num_layers=18, patience=10, pretrain_path='../models/resnet-18-kinetics.pth', resnet_shortcut='A', resnext_cardinality=32, rnnmethod='LSTM', root_path='/ssd1/dsets/activitynet_captions', sample_duration=16, sample_size=112, start_from_ep=0, token_level=False, vocabpath='vocab.json', wide_resnet_k=2)
loaded dictionary from /ssd1/dsets/activitynet_captions/vocab.json
dictionary length: 11181 words
loading pretrained model ../models/resnet-18-kinetics.pth
succesfully initialized embeddings from ../wordvectors/glove.840B.300d-char.txt
using 4 gpus...
# of params in model : 44146405
start decoder pretraining, doing for 10 epochs
iter 000010/000283 | nll loss: 9.3209 | 1.0423s per loop
iter 000020/000283 | nll loss: 9.3278 | 0.1672s per loop
iter 000030/000283 | nll loss: 9.3201 | 0.2473s per loop
iter 000040/000283 | nll loss: 9.3235 | 0.2336s per loop
iter 000050/000283 | nll loss: 9.3273 | 0.3800s per loop
iter 000060/000283 | nll loss: 9.3229 | 0.2435s per loop
iter 000070/000283 | nll loss: 9.3248 | 0.2465s per loop
iter 000080/000283 | nll loss: 9.3123 | 0.2450s per loop
iter 000090/000283 | nll loss: 9.3203 | 0.3731s per loop
iter 000100/000283 | nll loss: 9.3128 | 0.2661s per loop
iter 000110/000283 | nll loss: 9.3188 | 0.2445s per loop
iter 000120/000283 | nll loss: 9.3165 | 0.2267s per loop
iter 000130/000283 | nll loss: 9.3190 | 0.3696s per loop
iter 000140/000283 | nll loss: 9.3224 | 0.2588s per loop
iter 000150/000283 | nll loss: 9.3231 | 0.2427s per loop
iter 000160/000283 | nll loss: 9.3157 | 0.2314s per loop
iter 000170/000283 | nll loss: 9.3166 | 0.3545s per loop
iter 000180/000283 | nll loss: 9.3164 | 0.2801s per loop
iter 000190/000283 | nll loss: 9.3076 | 0.2357s per loop
iter 000200/000283 | nll loss: 9.3125 | 0.2448s per loop
iter 000210/000283 | nll loss: 9.3078 | 0.3305s per loop
iter 000220/000283 | nll loss: 9.3131 | 0.2955s per loop
iter 000230/000283 | nll loss: 9.3121 | 0.2265s per loop
iter 000240/000283 | nll loss: 9.3099 | 0.2358s per loop
iter 000250/000283 | nll loss: 9.3071 | 0.2842s per loop
iter 000260/000283 | nll loss: 9.3142 | 0.3145s per loop
iter 000270/000283 | nll loss: 9.3105 | 0.2196s per loop
iter 000280/000283 | nll loss: 9.3116 | 0.2411s per loop
epoch 0001/0010 done (pretrain), loss: 9.308195
saved pretrained decoder model to ../models/LSTM_pre/b032_s224_l016/ep0001.ckpt
/home/seito/anaconda3/envs/anetchallenge/lib/python3.6/site-packages/torch/nn/parallel/_functions.py:61: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
iter 000010/000283 | nll loss: 9.3074 | 0.6993s per loop
iter 000020/000283 | nll loss: 9.3113 | 0.2476s per loop
iter 000030/000283 | nll loss: 9.3128 | 0.2440s per loop
iter 000040/000283 | nll loss: 9.3045 | 0.2411s per loop
iter 000050/000283 | nll loss: 9.3111 | 0.3964s per loop
iter 000060/000283 | nll loss: 9.3063 | 0.2454s per loop
iter 000070/000283 | nll loss: 9.3144 | 0.2348s per loop
iter 000080/000283 | nll loss: 9.3011 | 0.2266s per loop
iter 000090/000283 | nll loss: 9.2994 | 0.3737s per loop
iter 000100/000283 | nll loss: 9.3094 | 0.2300s per loop
iter 000110/000283 | nll loss: 9.3092 | 0.2205s per loop
iter 000120/000283 | nll loss: 9.3082 | 0.2215s per loop
iter 000130/000283 | nll loss: 9.3111 | 0.3695s per loop
iter 000140/000283 | nll loss: 9.3009 | 0.2347s per loop
iter 000150/000283 | nll loss: 9.3049 | 0.2402s per loop
iter 000160/000283 | nll loss: 9.3050 | 0.2283s per loop
iter 000170/000283 | nll loss: 9.3041 | 0.3937s per loop
iter 000180/000283 | nll loss: 9.2957 | 0.2325s per loop
iter 000190/000283 | nll loss: 9.2976 | 0.2315s per loop
iter 000200/000283 | nll loss: 9.2934 | 0.2379s per loop
iter 000210/000283 | nll loss: 9.3056 | 0.3825s per loop
iter 000220/000283 | nll loss: 9.3013 | 0.2401s per loop
iter 000230/000283 | nll loss: 9.2974 | 0.2387s per loop
iter 000240/000283 | nll loss: 9.3034 | 0.2499s per loop
iter 000250/000283 | nll loss: 9.2964 | 0.4010s per loop
iter 000260/000283 | nll loss: 9.2993 | 0.2357s per loop
iter 000270/000283 | nll loss: 9.2950 | 0.2446s per loop
iter 000280/000283 | nll loss: 9.2986 | 0.2405s per loop
epoch 0002/0010 done (pretrain), loss: 9.294234
saved pretrained decoder model to ../models/LSTM_pre/b032_s224_l016/ep0002.ckpt
iter 000010/000283 | nll loss: 9.2951 | 0.6832s per loop
iter 000020/000283 | nll loss: 9.3043 | 0.2357s per loop
iter 000030/000283 | nll loss: 9.2897 | 0.2339s per loop
iter 000040/000283 | nll loss: 9.2931 | 0.2379s per loop
iter 000050/000283 | nll loss: 9.3016 | 0.3877s per loop
iter 000060/000283 | nll loss: 9.2990 | 0.2480s per loop
iter 000070/000283 | nll loss: 9.3026 | 0.2473s per loop
iter 000080/000283 | nll loss: 9.2834 | 0.2411s per loop
iter 000090/000283 | nll loss: 9.2936 | 0.4083s per loop
iter 000100/000283 | nll loss: 9.2959 | 0.2368s per loop
iter 000110/000283 | nll loss: 9.2899 | 0.2482s per loop
iter 000120/000283 | nll loss: 9.2995 | 0.2522s per loop
iter 000130/000283 | nll loss: 9.2948 | 0.4079s per loop
iter 000140/000283 | nll loss: 9.2944 | 0.2399s per loop
iter 000150/000283 | nll loss: 9.2932 | 0.2404s per loop
iter 000160/000283 | nll loss: 9.2879 | 0.2250s per loop
iter 000170/000283 | nll loss: 9.2970 | 0.4082s per loop
iter 000180/000283 | nll loss: 9.2929 | 0.2319s per loop
iter 000190/000283 | nll loss: 9.2908 | 0.2416s per loop
iter 000200/000283 | nll loss: 9.2864 | 0.2728s per loop
iter 000210/000283 | nll loss: 9.2846 | 0.3892s per loop
iter 000220/000283 | nll loss: 9.2783 | 0.2349s per loop
iter 000230/000283 | nll loss: 9.2883 | 0.2686s per loop
iter 000240/000283 | nll loss: 9.2960 | 0.2293s per loop
iter 000250/000283 | nll loss: 9.2831 | 0.3759s per loop
iter 000260/000283 | nll loss: 9.2838 | 0.2282s per loop
iter 000270/000283 | nll loss: 9.2953 | 0.2226s per loop
iter 000280/000283 | nll loss: 9.2912 | 0.2277s per loop
epoch 0003/0010 done (pretrain), loss: 9.283721
saved pretrained decoder model to ../models/LSTM_pre/b032_s224_l016/ep0003.ckpt
iter 000010/000283 | nll loss: 9.2819 | 0.7265s per loop
iter 000020/000283 | nll loss: 9.2797 | 0.2237s per loop
iter 000030/000283 | nll loss: 9.2841 | 0.2254s per loop
iter 000040/000283 | nll loss: 9.2960 | 0.2389s per loop
iter 000050/000283 | nll loss: 9.2845 | 0.4053s per loop
iter 000060/000283 | nll loss: 9.2885 | 0.2579s per loop
iter 000070/000283 | nll loss: 9.2878 | 0.2546s per loop
iter 000080/000283 | nll loss: 9.2853 | 0.2592s per loop
iter 000090/000283 | nll loss: 9.2742 | 0.4332s per loop
iter 000100/000283 | nll loss: 9.2748 | 0.2551s per loop
iter 000110/000283 | nll loss: 9.2679 | 0.2253s per loop
iter 000120/000283 | nll loss: 9.2834 | 0.2462s per loop
iter 000130/000283 | nll loss: 9.2862 | 0.3793s per loop
iter 000140/000283 | nll loss: 9.2757 | 0.2261s per loop
iter 000150/000283 | nll loss: 9.2765 | 0.2440s per loop
iter 000160/000283 | nll loss: 9.2801 | 0.2473s per loop
iter 000170/000283 | nll loss: 9.2672 | 0.3965s per loop
iter 000180/000283 | nll loss: 9.2799 | 0.2694s per loop
iter 000190/000283 | nll loss: 9.2607 | 0.2427s per loop
iter 000200/000283 | nll loss: 9.2775 | 0.2466s per loop
iter 000210/000283 | nll loss: 9.2712 | 0.4108s per loop
iter 000220/000283 | nll loss: 9.2683 | 0.2634s per loop
iter 000230/000283 | nll loss: 9.2680 | 0.2460s per loop
iter 000240/000283 | nll loss: 9.2736 | 0.2533s per loop
iter 000250/000283 | nll loss: 9.2701 | 0.4329s per loop
iter 000260/000283 | nll loss: 9.2733 | 0.2598s per loop
iter 000270/000283 | nll loss: 9.2771 | 0.2402s per loop
iter 000280/000283 | nll loss: 9.2688 | 0.2400s per loop
epoch 0004/0010 done (pretrain), loss: 9.272068
saved pretrained decoder model to ../models/LSTM_pre/b032_s224_l016/ep0004.ckpt
iter 000010/000283 | nll loss: 9.2662 | 0.6862s per loop
iter 000020/000283 | nll loss: 9.2809 | 0.2218s per loop
iter 000030/000283 | nll loss: 9.2755 | 0.2450s per loop
iter 000040/000283 | nll loss: 9.2559 | 0.2412s per loop
iter 000050/000283 | nll loss: 9.2713 | 0.3942s per loop
iter 000060/000283 | nll loss: 9.2617 | 0.2479s per loop
iter 000070/000283 | nll loss: 9.2882 | 0.2495s per loop
iter 000080/000283 | nll loss: 9.2680 | 0.2403s per loop
iter 000090/000283 | nll loss: 9.2669 | 0.3821s per loop
iter 000100/000283 | nll loss: 9.2561 | 0.2393s per loop
iter 000110/000283 | nll loss: 9.2651 | 0.2422s per loop
iter 000120/000283 | nll loss: 9.2681 | 0.2517s per loop
iter 000130/000283 | nll loss: 9.2755 | 0.4027s per loop
iter 000140/000283 | nll loss: 9.2747 | 0.2570s per loop
iter 000150/000283 | nll loss: 9.2569 | 0.2725s per loop
iter 000160/000283 | nll loss: 9.2689 | 0.2813s per loop
iter 000170/000283 | nll loss: 9.2643 | 0.4221s per loop
iter 000180/000283 | nll loss: 9.2623 | 0.2673s per loop
iter 000190/000283 | nll loss: 9.2523 | 0.2645s per loop
iter 000200/000283 | nll loss: 9.2671 | 0.2606s per loop
iter 000210/000283 | nll loss: 9.2717 | 0.4165s per loop
iter 000220/000283 | nll loss: 9.2584 | 0.2672s per loop
iter 000230/000283 | nll loss: 9.2636 | 0.2471s per loop
iter 000240/000283 | nll loss: 9.2840 | 0.2422s per loop
iter 000250/000283 | nll loss: 9.2507 | 0.4222s per loop
iter 000260/000283 | nll loss: 9.2627 | 0.2548s per loop
iter 000270/000283 | nll loss: 9.2597 | 0.2701s per loop
iter 000280/000283 | nll loss: 9.2634 | 0.2319s per loop
epoch 0005/0010 done (pretrain), loss: 9.269696
saved pretrained decoder model to ../models/LSTM_pre/b032_s224_l016/ep0005.ckpt
iter 000010/000283 | nll loss: 9.2467 | 0.7086s per loop
iter 000020/000283 | nll loss: 9.2579 | 0.2428s per loop
iter 000030/000283 | nll loss: 9.2380 | 0.2614s per loop
iter 000040/000283 | nll loss: 9.2510 | 0.2674s per loop
iter 000050/000283 | nll loss: 9.2582 | 0.3874s per loop
iter 000060/000283 | nll loss: 9.2569 | 0.2475s per loop
iter 000070/000283 | nll loss: 9.2602 | 0.2476s per loop
iter 000080/000283 | nll loss: 9.2518 | 0.2486s per loop
iter 000090/000283 | nll loss: 9.2574 | 0.4129s per loop
iter 000100/000283 | nll loss: 9.2759 | 0.2418s per loop
iter 000110/000283 | nll loss: 9.2527 | 0.2623s per loop
iter 000120/000283 | nll loss: 9.2364 | 0.2867s per loop
iter 000130/000283 | nll loss: 9.2542 | 0.3970s per loop
iter 000140/000283 | nll loss: 9.2599 | 0.2429s per loop
iter 000150/000283 | nll loss: 9.2400 | 0.2514s per loop
iter 000160/000283 | nll loss: 9.2450 | 0.2675s per loop
iter 000170/000283 | nll loss: 9.2498 | 0.3973s per loop
iter 000180/000283 | nll loss: 9.2346 | 0.2539s per loop
iter 000190/000283 | nll loss: 9.2441 | 0.2526s per loop
iter 000200/000283 | nll loss: 9.2464 | 0.2871s per loop
iter 000210/000283 | nll loss: 9.2543 | 0.4456s per loop
iter 000220/000283 | nll loss: 9.2637 | 0.2589s per loop
iter 000230/000283 | nll loss: 9.2340 | 0.2608s per loop
iter 000240/000283 | nll loss: 9.2528 | 0.2594s per loop
iter 000250/000283 | nll loss: 9.2388 | 0.4081s per loop
iter 000260/000283 | nll loss: 9.2625 | 0.2442s per loop
iter 000270/000283 | nll loss: 9.2432 | 0.2467s per loop
iter 000280/000283 | nll loss: 9.2419 | 0.2259s per loop
epoch 0006/0010 done (pretrain), loss: 9.232501
saved pretrained decoder model to ../models/LSTM_pre/b032_s224_l016/ep0006.ckpt
iter 000010/000283 | nll loss: 9.2398 | 0.6975s per loop
iter 000020/000283 | nll loss: 9.2447 | 0.2549s per loop
iter 000030/000283 | nll loss: 9.2481 | 0.2664s per loop
iter 000040/000283 | nll loss: 9.2391 | 0.2436s per loop
iter 000050/000283 | nll loss: 9.2406 | 0.4154s per loop
iter 000060/000283 | nll loss: 9.2504 | 0.2437s per loop
iter 000070/000283 | nll loss: 9.2478 | 0.2864s per loop
iter 000080/000283 | nll loss: 9.2365 | 0.2559s per loop
iter 000090/000283 | nll loss: 9.2315 | 0.4066s per loop
iter 000100/000283 | nll loss: 9.2375 | 0.2697s per loop
iter 000110/000283 | nll loss: 9.2394 | 0.2688s per loop
iter 000120/000283 | nll loss: 9.2387 | 0.2538s per loop
iter 000130/000283 | nll loss: 9.2524 | 0.4141s per loop
iter 000140/000283 | nll loss: 9.2439 | 0.2465s per loop
iter 000150/000283 | nll loss: 9.2387 | 0.2836s per loop
iter 000160/000283 | nll loss: 9.2448 | 0.2750s per loop
iter 000170/000283 | nll loss: 9.2444 | 0.3568s per loop
iter 000180/000283 | nll loss: 9.2438 | 0.2360s per loop
iter 000190/000283 | nll loss: 9.2467 | 0.3156s per loop
iter 000200/000283 | nll loss: 9.2350 | 0.2407s per loop
iter 000210/000283 | nll loss: 9.2180 | 0.3640s per loop
iter 000220/000283 | nll loss: 9.2313 | 0.2711s per loop
iter 000230/000283 | nll loss: 9.2450 | 0.3096s per loop
iter 000240/000283 | nll loss: 9.2206 | 0.2795s per loop
iter 000250/000283 | nll loss: 9.2108 | 0.4023s per loop
iter 000260/000283 | nll loss: 9.2352 | 0.2940s per loop
iter 000270/000283 | nll loss: 9.2261 | 0.2937s per loop
iter 000280/000283 | nll loss: 9.2211 | 0.2415s per loop
epoch 0007/0010 done (pretrain), loss: 9.231691
