Namespace(annpath='train.json', batch_size=1, bs=8, clip_len=64, cuda=True, dataparallel=True, emb_init='../wordvectors/glove.6B.300d.txt', embedding_size=512, feature_size=2048, framepath='frames', ft_begin_index=0, imsize=224, langmethod='Transformer', log_every=10, lr=0.0001, lstm_memory=512, lstm_pretrain_ep=0, lstm_stacks=1, manual_seed=1, max_epochs=1000, max_seqlen=30, meta_path='videometa_train.json', mode='train', model_ep=100, model_path='../models', modeldepth=101, modelname='resnext', momentum=0.9, n_classes=739, n_cpu=8, n_finetune_classes=739, norm_value=1, num_layers=18, patience=10, pretrain_path='../models/save_105.pth', resnet_shortcut='A', resnext_cardinality=32, root_path='/ssd1/dsets/activitynet_captions', start_from_ep=0, submission_path='submission.json', token_level=False, vocabpath='vocab_pad.json', weight_decay=0.0001, wide_resnet_k=2)
loaded dictionary from /ssd1/dsets/activitynet_captions/vocab_pad.json
dictionary length: 11182 words
loaded pretrain models from ../models/save_105.pth
using 4 gpus...
# of params in model : 98433984
start decoder pretraining, doing for 0 epochs
done with decoder pretraining
start training
elapsed: 48s | iter 000010/001133 | nll loss: 9.7793 | 4.8980s per loop
elapsed: 01m08s | iter 000020/001133 | nll loss: 9.2166 | 1.9864s per loop
elapsed: 01m26s | iter 000030/001133 | nll loss: 8.5764 | 1.7309s per loop
elapsed: 01m47s | iter 000040/001133 | nll loss: 8.4458 | 2.1316s per loop
elapsed: 02m12s | iter 000050/001133 | nll loss: 8.2219 | 2.4717s per loop
elapsed: 02m33s | iter 000060/001133 | nll loss: 7.9552 | 2.0889s per loop
elapsed: 02m55s | iter 000070/001133 | nll loss: 8.0025 | 2.2630s per loop
elapsed: 03m15s | iter 000080/001133 | nll loss: 7.7424 | 1.9909s per loop
elapsed: 03m35s | iter 000090/001133 | nll loss: 7.7308 | 1.9870s per loop
elapsed: 03m55s | iter 000100/001133 | nll loss: 7.7428 | 2.0485s per loop
elapsed: 04m19s | iter 000110/001133 | nll loss: 7.7866 | 2.3138s per loop
elapsed: 04m41s | iter 000120/001133 | nll loss: 7.6235 | 2.2103s per loop
elapsed: 05m01s | iter 000130/001133 | nll loss: 7.8850 | 2.0452s per loop
elapsed: 05m26s | iter 000140/001133 | nll loss: 7.9483 | 2.4671s per loop
elapsed: 05m51s | iter 000150/001133 | nll loss: 7.7619 | 2.5152s per loop
elapsed: 06m14s | iter 000160/001133 | nll loss: 7.9908 | 2.2994s per loop
elapsed: 06m33s | iter 000170/001133 | nll loss: 7.8879 | 1.9463s per loop
elapsed: 06m56s | iter 000180/001133 | nll loss: 7.5121 | 2.2961s per loop
