Namespace(annpath='train.json', bs=32, clip_len=16, cuda=True, dataparallel=True, emb_init='../wordvectors/glove.840B.300d-char.txt', embedding_size=300, feature_size=8192, framepath='frames', ft_begin_index=0, imsize=224, log_every=10, lr=0.0001, lstm_memory=512, lstm_pretrain_ep=0, lstm_stacks=1, manual_seed=1, max_epochs=1000, max_seqlen=30, meta_path='videometa_train.json', mode='train', model_path='../models', modeldepth=18, modelname='resnet', momentum=0.9, n_classes=400, n_cpu=8, n_finetune_classes=400, norm_value=1, num_layers=18, patience=10, pretrain_path='../models/resnet-18-kinetics.pth', resnet_shortcut='A', resnext_cardinality=32, rnnmethod='LSTM', root_path='/ssd1/dsets/activitynet_captions', sample_duration=16, sample_size=112, start_from_ep=0, token_level=False, vocabpath='vocab.json', wide_resnet_k=2)
loaded dictionary from /ssd1/dsets/activitynet_captions/vocab.json
dictionary length: 11181 words
succesfully initialized embeddings from ../wordvectors/glove.840B.300d-char.txt
using 4 gpus...
# of params in model : 46450405
start decoder pretraining, doing for 0 epochs
start training
iter 000010/000283 | nll loss: 9.3273 | 1.7958s per loop
iter 000020/000283 | nll loss: 9.3212 | 0.5380s per loop
iter 000030/000283 | nll loss: 9.3212 | 0.5733s per loop
iter 000040/000283 | nll loss: 9.3208 | 0.5897s per loop
iter 000050/000283 | nll loss: 9.3149 | 0.5590s per loop
iter 000060/000283 | nll loss: 9.3252 | 0.5705s per loop
iter 000070/000283 | nll loss: 9.3241 | 0.5744s per loop
iter 000080/000283 | nll loss: 9.3171 | 0.5926s per loop
iter 000090/000283 | nll loss: 9.3195 | 0.5859s per loop
iter 000100/000283 | nll loss: 9.3211 | 0.6383s per loop
iter 000110/000283 | nll loss: 9.3196 | 0.5655s per loop
iter 000120/000283 | nll loss: 9.3098 | 0.5612s per loop
iter 000130/000283 | nll loss: 9.3154 | 0.5795s per loop
iter 000140/000283 | nll loss: 9.3140 | 0.5767s per loop
iter 000150/000283 | nll loss: 9.3160 | 0.5582s per loop
iter 000160/000283 | nll loss: 9.3105 | 0.5759s per loop
iter 000170/000283 | nll loss: 9.3061 | 0.6381s per loop
iter 000180/000283 | nll loss: 9.3128 | 0.6049s per loop
iter 000190/000283 | nll loss: 9.3065 | 0.6014s per loop
iter 000200/000283 | nll loss: 9.3039 | 0.6142s per loop
iter 000210/000283 | nll loss: 9.3077 | 0.5879s per loop
iter 000220/000283 | nll loss: 9.3016 | 0.6202s per loop
iter 000230/000283 | nll loss: 9.3040 | 0.6075s per loop
iter 000240/000283 | nll loss: 9.3099 | 0.5738s per loop
iter 000250/000283 | nll loss: 9.3024 | 0.6069s per loop
iter 000260/000283 | nll loss: 9.3036 | 0.6092s per loop
iter 000270/000283 | nll loss: 9.2994 | 0.6329s per loop
iter 000280/000283 | nll loss: 9.2961 | 0.5326s per loop
epoch 0001/1000 done, loss: 9.306399
saved encoder model to ../models/resnet_18/b032_s224_l016/ep0001.ckpt
saved decoder model to ../models/LSTM_fine/b032_s224_l016/ep0001.ckpt
